"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,3782,382,1173.80773868262,0.0593449399173251,0.284867393984435,0.257010604813955,0.698167200236305
"DBD:Jerala_P12:AD:Jerala_P7",3227,461,5175,265,1273.96001232211,-0.00342602037522197,0.119455291955946,0.879861677515919,0.892254095509101
"DBD:Jerala_P9:AD:Jerala_P8",4258,906,2754,126,1334.38588335629,0.0334443793053494,0.255966007134114,0.526463836837773,0.789404555413207
"DBD:Jerala_P10:AD:Jerala_P8",3338,280,11007,741,2121.44081216118,-0.0116105036044828,0.230210120549109,0.821350763110361,0.863317590422569
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,2516,199,789.067265498558,0.00347858137403965,0.0952802104179106,0.838787625377858,0.8752566525682
"DBD:Jerala_P12:AD:Jerala_P8",3097,217,2890,194,823.843004163466,-0.0139146881171214,0.122414829987622,0.504342745415263,0.789404555413207
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,1733,70229,117607.53046768,8.71156579038423,0.589861854236701,3.82686638464369e-50,1.83689586462897e-48
"DBD:Jerala_P11:AD:Jerala_P9",2218,278,835,78,515.985157288446,0.0151242769617357,0.188384466152884,0.693574409105465,0.792656467549103
"DBD:Jerala_P12:AD:Jerala_P9",2249,144,1442,241,639.003468645389,0.0151152662457279,0.162725053581356,0.626978461220874,0.789404555413207
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,2542,389,2318.23128356427,2.04244461122907,1.28778725277524,0.0025858067119909,0.0198012673280228
"DBD:Jerala_P12:AD:Jerala_P10",3112,496,3535,5395,6507.10446036227,2.71596733492526,1.65681356746853,0.00275017601778094,0.0198012673280228
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,822,15002,41725.8961228205,7.74065022484825,0.632907444764412,5.23021036989468e-35,1.25525048877472e-33
