PPI,trp1,his1
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_77_swap,402.0,40.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_78_swap,253.0,19.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_79_swap,143.0,5.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_7_swap,3.0,1.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_80_swap,368.0,73.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_81_swap,7.0,1.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_82_swap,326.0,17.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_83_swap,34.0,3.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_84_swap,267.0,6.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_85_swap,2.0,2.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_86_swap,10.0,6.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_87_swap,87.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_88_swap,84.0,9.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_89_swap,372.0,43.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_90_swap,71.0,10.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_91_swap,14.0,3.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_92_swap,301.0,21.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_93_swap,595.0,26.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_94_swap,184.0,25.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_95_swap,395.0,18.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_96_swap,70.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_97_swap,123.0,24.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_98_swap,309.0,34.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_99_swap,177.0,19.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_9_swap,225.0,14.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_13_swap,3.0,1.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_150_swap,804.0,28.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_154_swap,270.0,19.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_155_swap,147.0,10.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_15_re_loop_swap,256.0,8.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_162_swap,42.0,4.0
