,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_10_swap:A_HT_DHD_70_swap,155.0,232.0,65.0,116.0
A_HT_DHD_10_swap:A_HT_DHD_71_swap,664.0,546.0,287.0,243.0
A_HT_DHD_10_swap:A_HT_DHD_72_swap,1324.0,360.0,568.0,182.0
A_HT_DHD_10_swap:A_HT_DHD_73_swap,914.0,2230.0,429.0,1234.0
A_HT_DHD_10_swap:A_HT_DHD_74_swap,892.0,392.0,601.0,155.0
A_HT_DHD_10_swap:A_HT_DHD_75_swap,2079.0,666.0,1361.0,357.0
A_HT_DHD_10_swap:A_HT_DHD_76_swap,1284.0,815.0,722.0,513.0
A_HT_DHD_10_swap:A_HT_DHD_77_swap,195.0,373.0,42.0,202.0
A_HT_DHD_10_swap:A_HT_DHD_78_swap,430.0,1842.0,195.0,998.0
A_HT_DHD_10_swap:A_HT_DHD_79_swap,284.0,408.0,205.0,267.0
A_HT_DHD_10_swap:A_HT_DHD_7_swap,160.0,343.0,50.0,179.0
A_HT_DHD_10_swap:A_HT_DHD_80_swap,659.0,223.0,459.0,489.0
A_HT_DHD_10_swap:A_HT_DHD_81_swap,250.0,274.0,138.0,171.0
A_HT_DHD_10_swap:A_HT_DHD_82_swap,1470.0,503.0,840.0,332.0
A_HT_DHD_10_swap:A_HT_DHD_83_swap,608.0,184.0,276.0,41.0
A_HT_DHD_10_swap:A_HT_DHD_84_swap,1221.0,198.0,796.0,69.0
A_HT_DHD_10_swap:A_HT_DHD_85_swap,556.0,437.0,326.0,220.0
A_HT_DHD_10_swap:A_HT_DHD_86_swap,691.0,706.0,467.0,367.0
A_HT_DHD_10_swap:A_HT_DHD_87_swap,20.0,170.0,2.0,104.0
A_HT_DHD_10_swap:A_HT_DHD_88_swap,593.0,1331.0,256.0,690.0
A_HT_DHD_10_swap:A_HT_DHD_89_swap,225.0,944.0,116.0,607.0
A_HT_DHD_10_swap:A_HT_DHD_8_swap,35.0,174.0,45.0,115.0
A_HT_DHD_10_swap:A_HT_DHD_90_swap,1383.0,99.0,855.0,46.0
A_HT_DHD_10_swap:A_HT_DHD_91_swap,263.0,244.0,193.0,94.0
A_HT_DHD_10_swap:A_HT_DHD_92_swap,232.0,132.0,161.0,95.0
A_HT_DHD_10_swap:A_HT_DHD_93_swap,189.0,436.0,91.0,249.0
A_HT_DHD_10_swap:A_HT_DHD_94_swap,410.0,127.0,216.0,110.0
A_HT_DHD_10_swap:A_HT_DHD_95_swap,1164.0,1297.0,486.0,665.0
